"","log2Fold","Pvalue","Symbol"
"1",8.672425342,2.41e-75,"ATP5MF-PTCD1"
"2",7.942514505,4.78e-09,"NME1-NME2"
"3",7.721099189,1.07e-14,"TBC1D3I"
"4",6.22881869,3.29e-13,"GOLGA8R"
"5",5.882643049,8.91e-06,"C7orf55-LUC7L2"
"6",5.727920455,1.14e-06,"FAM231D"
"7",5.321928095,1.56e-10,"PALM2-AKAP2"
"8",5.285402219,8.91e-06,"GOLGA6L6"
"9",5.285402219,1.56e-10,"RGPD6"
"10",4.807354922,1.77e-05,"GOLGA8K"
"11",4.807354922,1.77e-05,"LRRC37A"
"12",4.080373416,7.24e-09,"URGCP-MRPS24"
"13",4,0.00016647,"PTGS2"
"14",3.882643049,3.5e-05,"FAM72B"
"15",3.46287892,3.68e-24,"LTB"
"16",3.377438246,3.45e-19,"MT2A"
"17",3.367975462,4.94e-21,"CXCL5"
"18",3.115477217,7.79e-05,"ETV1"
"19",3,6.63e-11,"CXCL6"
"20",2.974004791,1.39e-06,"ATP10A"
"21",2.86941589,3.33e-07,"CER1"
"22",2.807354922,5.91e-05,"NEURL1B"
"23",2.756610123,2.47e-06,"ASDURF"
"24",2.740191898,1.51e-37,"CXCL8"
"25",2.642812329,0,"SERPINE1"
"26",2.599037686,1.67e-07,"C6orf222"
"27",2.515357033,2.78e-05,"EAF2"
"28",2.475980264,1.1e-20,"CXCL1"
"29",2.395301281,5.52e-07,"BEX5"
"30",2.298966946,2.39e-09,"TVP23C-CDRT4"
"31",2.178425479,4.7e-159,"IGFBP1"
"32",2.169925001,5.98e-07,"TESC"
"33",2.153145925,7.57e-148,"NNMT"
"34",2.135655099,5.68e-08,"USE1"
"35",2.070300795,3.63e-60,"ACTA1"
"36",1.967795649,8.36e-27,"AREG"
"37",1.909767356,8.57e-08,"S100P"
"38",1.887595694,2.92e-163,"INHBE"
"39",1.873323212,1.71e-37,"ATF3"
"40",1.871013559,4.16e-06,"FAM43A"
"41",1.850923806,6.15e-133,"UBD"
"42",1.83683936,1.12e-47,"IER3"
"43",1.827595714,1.86e-16,"MYC"
"44",1.818882356,4.94e-56,"RND1"
"45",1.817135943,9.39e-06,"CRP"
"46",1.799196399,7.36e-05,"TNNC1"
"47",1.780532717,1.16e-49,"CCL20"
"48",1.771789562,1.9e-10,"CHAC1"
"49",1.749534268,0.000150194,"SHH"
"50",1.707938583,5.75e-93,"DDIT4"
"51",1.699402181,3.76e-14,"TNFAIP8L2-SCNM1"
"52",1.657287339,2.58e-06,"PLA2G2A"
"53",1.653801377,8.08e-33,"TNFAIP2"
"54",1.615659298,1.11e-07,"OLR1"
"55",1.614108846,2.01e-11,"ALDH1L2"
"56",1.59917636,3.54e-06,"MRM1"
"57",1.593923368,2.81e-06,"CCDC151"
"58",1.591816172,3.86e-07,"JRKL"
"59",1.586938119,3.85e-96,"TAGLN"
"60",1.552541023,1.51e-13,"SIK1B"
"61",1.547809502,2.34e-11,"RASD1"
"62",1.546031508,6.93e-38,"BGN"
"63",1.545968369,9.37e-12,"CPN1"
"64",1.53951953,3.54e-06,"PPCDC"
"65",1.511739728,3.61e-49,"IFITM2"
"66",1.497711307,1.95e-06,"CNN1"
"67",1.476239501,7.14e-90,"TM4SF1"
"68",1.473750275,2.99e-179,"NPPB"
"69",1.472262368,8.51e-17,"SLC34A2"
"70",1.468597744,0.000134523,"MYL7"
"71",1.465663572,3e-08,"DNAH5"
"72",1.462339242,9.44e-120,"ANKRD1"
"73",1.446586335,7.18e-66,"LOXL4"
"74",1.446107506,0.000117264,"TFF1"
"75",1.437989082,3.67e-207,"IL32"
"76",1.427241639,2.7e-15,"TYMP"
"77",1.415563167,1.57e-08,"FUOM"
"78",1.398438327,1.23e-17,"TNFAIP8"
"79",1.395734492,8.15e-27,"ASNS"
"80",1.384096256,3.38e-36,"ICAM1"
"81",1.38310701,4.89e-12,"IER5L"
"82",1.362964205,1.01e-295,"CP"
"83",1.354268062,6.64e-44,"HILPDA"
"84",1.345219488,1.87e-235,"IFITM3"
"85",1.34013269,2.5e-19,"ANGPTL4"
"86",1.338801913,2.22e-09,"METTL1"
"87",1.329811694,2.15e-05,"VNN3"
"88",1.318126525,2.49e-40,"NEDD9"
"89",1.295539731,1.45e-71,"JUNB"
"90",1.295455884,1.56e-08,"FBXL16"
"91",1.288569498,2.28e-05,"PDGFRL"
"92",1.286109433,3.78e-36,"CBSL"
"93",1.281975969,1.58e-10,"KCNK6"
"94",1.280107919,3.82e-05,"PMAIP1"
"95",1.264363971,1.5e-101,"CYR61"
"96",1.26227329,4.39e-17,"NUAK2"
"97",1.254908087,0,"ARF4"
"98",1.25173878,1.37e-32,"NPIPB5"
"99",1.249088721,9.24e-25,"AGTR1"
"100",1.248650488,2.45e-14,"SLC1A4"
"101",1.243719263,1.39e-21,"COTL1"
"102",1.239257846,4.57e-06,"CCDC167"
"103",1.218498505,8.17e-12,"CD44"
"104",1.205320918,0,"TGM2"
"105",1.200395946,1.25e-70,"S100A11"
"106",1.189602486,1.09e-05,"HAL"
"107",1.182521411,2.26e-68,"PFKFB3"
"108",1.167109986,1.06e-10,"JMJD7-PLA2G4B"
"109",1.165652155,5.09e-15,"ARRDC3"
"110",1.16121588,2.27e-12,"RRAS"
"111",1.157801885,6.75e-19,"ID1"
"112",1.157593124,3.24e-26,"UCHL1"
"113",1.156475614,4.1e-06,"NPM3"
"114",1.156395408,4.56e-45,"CTGF"
"115",1.155643056,1.99e-24,"LMCD1"
"116",1.153238109,3.44e-12,"ATP5MD"
"117",1.153221608,3.48e-06,"PET100"
"118",1.150641418,3.48e-06,"DTWD1"
"119",1.14543044,0.000132538,"NEURL1"
"120",1.141207493,2.55e-07,"MRPL1"
"121",1.140809615,3.3e-26,"GDF15"
"122",1.136916585,8.06e-19,"CEACAM1"
"123",1.133467142,3.59e-21,"GBP2"
"124",1.132835683,2.51e-05,"TCIM"
"125",1.132388712,1.93e-51,"EGLN3"
"126",1.130204369,5.31e-13,"NDUFAF3"
"127",1.125999701,1.12e-34,"TNFAIP3"
"128",1.117122815,5.73e-25,"CASP4"
"129",1.112335645,1.15e-23,"STC2"
"130",1.108836492,6.65e-06,"INHBB"
"131",1.107725479,9.43e-17,"PGGHG"
"132",1.105353,1.51e-05,"INHBA"
"133",1.102026499,1.94e-66,"DUSP1"
"134",1.098738121,0,"SPINK1"
"135",1.097690341,4.45e-41,"LAMC2"
"136",1.097434151,1.31e-07,"MANEAL"
"137",1.091630475,7.41e-06,"FAM47E"
"138",1.085518071,9.71e-09,"IP6K3"
"139",1.077424972,1.1e-18,"NCOA7"
"140",1.075627705,4.47e-05,"RFC4"
"141",1.073462162,8.46e-24,"TUBA1A"
"142",1.073020157,9.36e-27,"TOMM5"
"143",1.069966931,3.35e-07,"ZNF593"
"144",1.067638717,1.89e-07,"MTHFD1L"
"145",1.067584076,2.73e-11,"PDCD5"
"146",1.054378208,5.17e-14,"SQOR"
"147",1.052770475,1e-11,"NCEH1"
"148",1.051138849,2.1e-11,"FAM156B"
"149",1.041268018,1.17e-09,"EMG1"
"150",1.040438544,2.95e-23,"KRT6A"
"151",1.03942035,5.62e-12,"ODF2"
"152",1.03593946,9.22e-57,"HSPB1"
"153",1.033516108,1.31e-24,"SEC61G"
"154",1.028077775,5.91e-14,"TSTA3"
"155",1.022281447,1.08e-12,"ETS1"
"156",1.021826362,2.02e-16,"NPC1L1"
"157",1.019443624,3.04e-28,"TOMM6"
"158",1.019330727,1.26e-13,"DUSP5"
"159",1.016638246,1.15e-86,"BHLHE40"
"160",1.011917983,7.72e-64,"RPL36A"
"161",1.007765933,4.02e-239,"PLIN2"
"162",1.007387088,2.57e-10,"HCAR3"
"163",1.000964046,5.01e-15,"MTHFD2"
"164",-8.247927513,1.44e-09,"SMIM11A"
"165",-8.21916852,2.53e-19,"SERF1A"
"166",-8.016808288,3.37e-24,"PLA2G4B"
"167",-7.64385619,2.66e-05,"BGLAP"
"168",-7.62935662,3.85e-14,"TBC1D3K"
"169",-7.087462841,3.45e-17,"CORO7-PAM16"
"170",-6.95419631,2.38e-08,"FAM156A"
"171",-6.599912842,7.95e-07,"P2RY11"
"172",-6.375039431,1.6e-06,"MINOS1-NBL1"
"173",-6.303780748,1.06e-11,"PHOSPHO2-KLHL23"
"174",-5.930737338,1.32e-05,"TMEFF1"
"175",-5.357552005,2.66e-05,"TBX2"
"176",-4.459431619,0.000126059,"EVPL"
"177",-4,2.66e-05,"SCN2A"
"178",-3.602036014,2.46e-06,"CYP1A1"
"179",-3.57634937,1.45e-08,"SFRP2"
"180",-3.156504486,5.05e-08,"GLYAT"
"181",-3.152003093,0.000103433,"ITLN2"
"182",-2.632268215,3.12e-05,"CSPG4"
"183",-2.523561956,9.98e-33,"SERTM2"
"184",-2.50779464,7.34e-23,"PTGS1"
"185",-2.38466385,1.94e-05,"CPAMD8"
"186",-2.359895945,2.11e-15,"TFEC"
"187",-2.321928095,3.13e-07,"DGKK"
"188",-2.292781749,5.63e-05,"ISL1"
"189",-2.290677161,6.28e-49,"NEB"
"190",-2.275322857,8.19e-116,"CYP7A1"
"191",-2.252387162,7.1e-06,"SUCNR1"
"192",-2.2410081,4.41e-05,"GUCY1A1"
"193",-2.169925001,5.05e-07,"MUC16"
"194",-2.160822794,5.41e-07,"SFRP5"
"195",-2.153805336,1.17e-07,"RTL9"
"196",-2.129283017,9.53e-05,"IRX1"
"197",-2.047305715,4.18e-17,"OTC"
"198",-2.034488376,3.36e-05,"SLC5A11"
"199",-2.031848866,3.99e-12,"SCML4"
"200",-2.029747343,1.39e-07,"TIAM1"
"201",-2.004676487,1.07e-07,"IL34"
"202",-2,5.09e-07,"UNC5C"
"203",-1.98772167,8.54e-09,"ADH1B"
"204",-1.969626351,2.43e-06,"DOK6"
"205",-1.953233573,8.78e-168,"GSTA1"
"206",-1.903850141,3.52e-44,"PTCD1"
"207",-1.90303827,2.23e-09,"EDNRA"
"208",-1.874469118,4.41e-05,"KCNJ2"
"209",-1.855329252,4.85e-22,"HSD17B6"
"210",-1.844008804,1.35e-45,"FETUB"
"211",-1.748660928,6.58e-46,"HRG"
"212",-1.744588835,1.67e-12,"GBA3"
"213",-1.736965594,0.000111573,"KIAA1024"
"214",-1.724026538,2.54e-07,"CLRN3"
"215",-1.716207034,8.58e-12,"COL14A1"
"216",-1.715161224,2.54e-07,"FAM222A"
"217",-1.714091128,1.27e-32,"REEP1"
"218",-1.709141912,3.2e-12,"FAM151A"
"219",-1.706316284,2.81e-77,"PARM1"
"220",-1.705256734,3.57e-05,"GCOM1"
"221",-1.700439718,6.91e-07,"GAS1"
"222",-1.622632919,4.79e-09,"COL8A2"
"223",-1.61233894,4.44e-08,"SLC16A10"
"224",-1.608373887,9.89e-11,"FMO1"
"225",-1.584962501,9.93e-05,"CUBN"
"226",-1.578419655,1.83e-12,"SCNM1"
"227",-1.5776577,3.29e-05,"UGT1A1"
"228",-1.57627154,2.09e-06,"CXCL12"
"229",-1.566436467,1.55e-40,"GRAMD1B"
"230",-1.542527234,1.61e-05,"ATP13A4"
"231",-1.530126635,2.77e-34,"SLIT3"
"232",-1.507706069,2.64e-22,"INMT"
"233",-1.506790887,2.82e-11,"AQP1"
"234",-1.504761618,0,"CPS1"
"235",-1.504042505,0.000102824,"IRX2"
"236",-1.497905766,1.96e-05,"GPER1"
"237",-1.49410907,2.7e-05,"KCND3"
"238",-1.493694443,4.42e-10,"REC8"
"239",-1.478047297,8.98e-26,"ECM2"
"240",-1.478047297,2.7e-05,"NAALADL1"
"241",-1.451211112,2.02e-36,"COL1A2"
"242",-1.438442104,8.26e-15,"AGXT2"
"243",-1.429744702,0,"CDKN1C"
"244",-1.429279422,1.16e-09,"PALM3"
"245",-1.413826677,3.23e-09,"HHLA2"
"246",-1.410088283,9.52e-23,"SCUBE3"
"247",-1.403792742,3.57e-08,"ADRA1A"
"248",-1.39132143,7.22e-07,"PDZRN3"
"249",-1.382087077,3.09e-98,"SLC5A3"
"250",-1.378511623,9.24e-05,"TENM4"
"251",-1.36923381,1.16e-06,"C15orf62"
"252",-1.36923381,4.29e-05,"SOX11"
"253",-1.365214801,3.54e-18,"PGF"
"254",-1.359081093,0.000130989,"GLI3"
"255",-1.336525471,2.01e-18,"P2RY2"
"256",-1.335703474,5.47e-38,"TNXB"
"257",-1.331059107,5.98e-11,"CYP19A1"
"258",-1.330645312,3.92e-06,"EPHA10"
"259",-1.327228879,6.09e-12,"NCMAP"
"260",-1.325027334,5.89e-10,"COL17A1"
"261",-1.321539699,1.03e-17,"PGC"
"262",-1.318753847,2.96e-26,"BMP8A"
"263",-1.314635602,3.34e-35,"SOX6"
"264",-1.310787537,1.26e-11,"SVEP1"
"265",-1.29235498,2.28e-100,"COL1A1"
"266",-1.282730207,1.25e-09,"COL16A1"
"267",-1.282356359,6.83e-49,"DIO1"
"268",-1.265142069,6.3e-06,"PCYT1B"
"269",-1.264703226,3.42e-71,"AGFG2"
"270",-1.261386553,3.05e-08,"SPIB"
"271",-1.261124816,1.81e-06,"DBH"
"272",-1.260764232,1.26e-06,"TMEM169"
"273",-1.243925583,0.000163284,"SLC1A2"
"274",-1.24197279,3.32e-21,"PPM1H"
"275",-1.237039197,5.29e-06,"KCNH6"
"276",-1.232834168,4.35e-09,"RASL10B"
"277",-1.228027956,1.38e-17,"FREM2"
"278",-1.227535725,1.01e-18,"SPTBN2"
"279",-1.214334902,2.63e-67,"GABRP"
"280",-1.209574078,1.52e-10,"DPYS"
"281",-1.208108195,1.5e-07,"PCDH11Y"
"282",-1.203027096,2.54e-06,"HAND1"
"283",-1.201870097,1.03e-171,"IGFBP5"
"284",-1.195787065,3.8e-05,"SEMA3F"
"285",-1.192645078,1.26e-05,"FREM1"
"286",-1.192645078,5.4e-05,"ZNF716"
"287",-1.188893594,2.1e-16,"XPNPEP2"
"288",-1.184424571,3.12e-12,"MXRA5"
"289",-1.179397754,3.06e-12,"DEPDC7"
"290",-1.172722278,7.12e-30,"CBS"
"291",-1.171502736,4.08e-08,"LGALS2"
"292",-1.168848765,1.23e-05,"CYP39A1"
"293",-1.168200321,5.27e-05,"PRODH2"
"294",-1.167727446,5.27e-05,"SLITRK6"
"295",-1.167506401,2.82e-06,"BNIPL"
"296",-1.166133422,0.000156586,"GNMT"
"297",-1.157931405,1.42e-12,"CPXM2"
"298",-1.154780691,3.85e-71,"SLC10A1"
"299",-1.149700833,7.41e-05,"SLN"
"300",-1.142152384,4.23e-05,"AFM"
"301",-1.134092896,1.67e-40,"SLC1A3"
"302",-1.132848831,1.28e-10,"NMUR1"
"303",-1.13014751,7.03e-09,"GPR89B"
"304",-1.121353784,5.91e-05,"NPB"
"305",-1.11883623,7.47e-16,"IGDCC3"
"306",-1.116409492,9.54e-06,"CACNG4"
"307",-1.114257179,5.85e-25,"PRTG"
"308",-1.113562559,2.42e-05,"ULBP3"
"309",-1.110317191,6.04e-18,"F13B"
"310",-1.109823278,1.08e-06,"LILRB3"
"311",-1.106041637,7.64e-05,"GLS2"
"312",-1.105219312,1.92e-09,"COL2A1"
"313",-1.100746948,1.21e-118,"SLCO4C1"
"314",-1.100526876,1.32e-05,"WNK4"
"315",-1.100325309,6.33e-55,"OSBP2"
"316",-1.09894185,1.79e-14,"TTPA"
"317",-1.092216371,1.58e-19,"CNNM1"
"318",-1.091147888,1.49e-08,"C1orf21"
"319",-1.089637212,1.28e-16,"MYLK"
"320",-1.079331493,6.98e-50,"UGT2B7"
"321",-1.074546953,6.13e-05,"PDGFRB"
"322",-1.0730564,2.93e-95,"GSTA2"
"323",-1.068283949,0,"PEG10"
"324",-1.06608919,2.68e-05,"ALDH8A1"
"325",-1.064130337,5.67e-08,"IYD"
"326",-1.062516484,7.76e-07,"TMEM38A"
"327",-1.061029433,6.44e-09,"SLC47A1"
"328",-1.049109406,5.06e-09,"FAM19A4"
"329",-1.047753131,4.88e-138,"COL5A1"
"330",-1.038994132,1.48e-07,"NOTCH1"
"331",-1.038918989,5.76e-07,"JPH2"
"332",-1.034269902,8.27e-24,"PAQR7"
"333",-1.033802708,1.99e-10,"SSTR1"
"334",-1.028569152,1.62e-08,"LRP2"
"335",-1.027762788,9.98e-06,"ACY3"
"336",-1.025181148,4.81e-58,"METTL7A"
"337",-1.02406776,1.17e-09,"PTGES"
"338",-1.017921908,4.48e-05,"IGFBPL1"
"339",-1.015159807,1.29e-13,"DNHD1"
"340",-1.01512449,1.13e-21,"PRKCE"
"341",-1.014185906,1.16e-09,"SUSD3"
"342",-1.012748493,4.97e-18,"WNK3"
"343",-1.011972642,5.77e-05,"ZNF578"
"344",-1.007366969,4.65e-24,"COL7A1"
"345",-1.005932956,1.66e-09,"ZNHIT2"
"346",-1.002214421,4.81e-11,"ZG16"
"347",-1.000902531,5.02e-11,"TRIM16L"
